# M(MSol)        R(km)       nb_c(fm^-3)     cs2_c       mub_c(fm^-3) cs2_mub_Vavg  mub_cs2p_Vavg
1.586183193152235216e-01 2.255134402227969659e+01 1.231286146069646148e-01 3.337973770312011729e-02 9.637197941731136552e+02 3.461266094225781291e-05 1.618763780148716469e+00
1.649309820688537598e-01 2.155743284198853971e+01 1.260992939573417626e-01 3.463654232011362938e-02 9.644839757701341796e+02 3.590769009589395632e-05 1.602931278497092826e+00
1.715383909803983586e-01 2.068715605984723638e+01 1.291481477359638086e-01 3.600220000912426194e-02 9.653229997077537519e+02 3.729311859714824605e-05 1.646112032247381229e+00
1.784464963229275003e-01 1.991758466714953357e+01 1.322635918178340086e-01 3.746672428263105037e-02 9.661812290019081502e+02 3.877338565167619169e-05 1.688227427248799151e+00
1.856656453617608893e-01 1.922978755487675429e+01 1.354427008871303129e-01 3.904438866457429769e-02 9.670380791666975711e+02 4.036430943659201999e-05 1.723686458420950807e+00
1.932058095546643761e-01 1.862161029604040507e+01 1.386872421984692849e-01 4.070277004710999569e-02 9.679605591531015989e+02 4.203603730994130526e-05 1.751784434785142119e+00
2.010760775728211713e-01 1.807713190781483092e+01 1.419981740038029350e-01 4.244532849136353758e-02 9.689467334438173793e+02 4.379381085031752561e-05 1.772092298108987940e+00
2.092878911318115098e-01 1.758912829376120612e+01 1.453736172590238129e-01 4.429057705438139286e-02 9.699352353541622733e+02 4.563890961298400066e-05 1.793926974768295546e+00
2.178541379401483236e-01 1.714950588718975411e+01 1.488156912251696884e-01 4.621423987959008550e-02 9.709491024109864838e+02 4.758042016635458479e-05 1.807030424716042694e+00
2.267868883228601751e-01 1.675722219300566707e+01 1.523267279857300760e-01 4.819147655292495280e-02 9.720050595976202885e+02 4.953316811759033263e-05 1.737220749542431886e+00
2.360982043906497685e-01 1.639740711259520367e+01 1.559046731329871149e-01 5.009096729627381811e-02 9.731309507720010288e+02 5.148814584904632660e-05 1.850166972144735134e+00
2.458002994125583762e-01 1.606633613325331567e+01 1.595559908306130592e-01 5.204821496457751745e-02 9.743232274314356118e+02 5.343900035625898234e-05 2.168985353037748531e+00
2.558961099236125580e-01 1.576925024420432564e+01 1.633737329311693021e-01 5.515844406624306751e-02 9.755259121454079150e+02 5.689658043432550035e-05 2.858387156828534170e+00
2.663876056552162419e-01 1.549882824131481307e+01 1.671854331823922901e-01 5.934757048956942893e-02 9.767668688942388826e+02 6.079089539101052784e-05 3.588110562553847860e+00
